dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,nan_rate,runtime_sec,timestamp
arrhythmia,CWAE-MMD-IF-Dual,456,452,137,137,0.4615384615384615,0.7780401416765053,0.7463803251068633,0.0,1.941626787185669,2026-02-02T23:47:12.242751
arrhythmia,CWAE-MMD-IF-Latent,456,452,137,137,0.4615384615384615,0.7022825659189296,0.6509906870864031,0.0,1.702173948287964,2026-02-02T23:47:13.953328
ionosphere,IF,42,351,16,17,0.7368421052631579,0.8636684303350969,0.94875728848605,0.0,0.1808881759643554,2026-02-02T23:47:14.141510
ionosphere,IF-concat,42,351,16,17,0.7368421052631579,0.9291005291005292,0.9739370921290996,0.0,0.1517863273620605,2026-02-02T23:47:14.299938
ionosphere,DIF,42,351,16,17,0.7368421052631579,0.948853615520282,0.9817848055507612,0.0,1.192291021347046,2026-02-02T23:47:15.501247
ionosphere,CVAE,42,351,16,17,0.7368421052631579,0.9398589065255732,0.980496099339077,0.0,0.666895866394043,2026-02-02T23:47:16.180900
ionosphere,CWAE-MMD-IF,42,351,16,17,0.7368421052631579,0.9465608465608466,0.9814159979520252,0.0,0.973114252090454,2026-02-02T23:47:17.163871
ionosphere,CWAE-MMD-CRPS,42,351,16,17,0.7368421052631579,0.9398589065255732,0.9794833381716384,0.0,0.995185375213623,2026-02-02T23:47:18.167654
ionosphere,CWAE-MMD-Huber,42,351,16,17,0.7368421052631579,0.946031746031746,0.9811214216561012,0.0,0.983452320098877,2026-02-02T23:47:19.159848
ionosphere,CWAE-MMD-DIF-Dual,42,351,16,17,0.7368421052631579,0.8887125220458554,0.9592348059752126,0.0,3.159276247024536,2026-02-02T23:47:22.326971
ionosphere,CWAE-MMD-IF-Dual,42,351,16,17,0.7368421052631579,0.8162257495590829,0.9150829165603348,0.0,1.1192326545715332,2026-02-02T23:47:23.457929
ionosphere,CWAE-MMD-IF-Latent,42,351,16,17,0.7368421052631579,0.5858906525573192,0.7325185832531262,0.0,0.9536938667297364,2026-02-02T23:47:24.420290
ionosphere,IF,123,351,16,17,0.7368421052631579,0.8523809523809524,0.9367473448049358,0.0,0.1912329196929931,2026-02-02T23:47:24.620006
ionosphere,IF-concat,123,351,16,17,0.7368421052631579,0.8950617283950617,0.9537935711007534,0.0,0.1866040229797363,2026-02-02T23:47:24.814713
ionosphere,DIF,123,351,16,17,0.7368421052631579,0.9375661375661376,0.9750081279423536,0.0,1.2270610332489014,2026-02-02T23:47:26.051088
ionosphere,CVAE,123,351,16,17,0.7368421052631579,0.9328042328042327,0.970647862036012,0.0,0.5328149795532227,2026-02-02T23:47:26.594996
ionosphere,CWAE-MMD-IF,123,351,16,17,0.7368421052631579,0.9502645502645504,0.982501777332464,0.0,0.935594081878662,2026-02-02T23:47:27.539369
ionosphere,CWAE-MMD-CRPS,123,351,16,17,0.7368421052631579,0.95026455026455,0.982221965476232,0.0,1.001579523086548,2026-02-02T23:47:28.549625
ionosphere,CWAE-MMD-Huber,123,351,16,17,0.7368421052631579,0.947442680776014,0.9813303565510804,0.0,0.9561154842376708,2026-02-02T23:47:29.514300
ionosphere,CWAE-MMD-DIF-Dual,123,351,16,17,0.7368421052631579,0.8814814814814815,0.9322948550479968,0.0,3.2679622173309326,2026-02-02T23:47:32.791317
ionosphere,CWAE-MMD-IF-Dual,123,351,16,17,0.7368421052631579,0.8160493827160494,0.8876689721516731,0.0,1.1388466358184814,2026-02-02T23:47:33.941919
ionosphere,CWAE-MMD-IF-Latent,123,351,16,17,0.7368421052631579,0.6238095238095238,0.7478318133318622,0.0,0.9769837856292723,2026-02-02T23:47:34.928529
ionosphere,IF,456,351,16,17,0.7368421052631579,0.8405643738977072,0.9364882969710504,0.0,0.205714464187622,2026-02-02T23:47:35.142976
ionosphere,IF-concat,456,351,16,17,0.7368421052631579,0.8987654320987655,0.9605382040859932,0.0,0.1721055507659912,2026-02-02T23:47:35.321823
ionosphere,DIF,456,351,16,17,0.7368421052631579,0.9349206349206348,0.976185711062988,0.0,1.1742351055145264,2026-02-02T23:47:36.504514
